ticker,period,metric,value,unit,source_url,verified
LUV,2021Q4,available_seat_miles,36690.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238022000003/er-12312021xerdoc.htm,True
LUV,2022Q1,available_seat_miles,34384.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238022000016/er-3312022xerdoc.htm,True
LUV,2022Q2,available_seat_miles,37322.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238022000043/er-6302022xerdoc.htm,True
LUV,2022Q3,available_seat_miles,39272.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238022000058/er-9302022xerdoc.htm,True
LUV,2022Q4,available_seat_miles,37490.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238023000007/er-12312022xerdoc.htm,True
LUV,2023Q1,available_seat_miles,38062.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238023000021/er-3312023xerdoc.htm,True
LUV,2023Q2,available_seat_miles,42579.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238023000036/er-6302023xerdoc.htm,True
LUV,2023Q3,available_seat_miles,44169.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238023000047/er-9302023xerdoc.htm,True
LUV,2023Q4,available_seat_miles,45513.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238024000026/a262024-updated2023financi.htm,True
LUV,2024Q1,available_seat_miles,42248.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238024000053/er-3312024xerdoc.htm,True
LUV,2024Q2,available_seat_miles,46250.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238024000108/er-6302024xerdoc.htm,True
LUV,2024Q3,available_seat_miles,45219.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238024000145/er-9302024xerdoc.htm,True
LUV,2024Q4,available_seat_miles,43533.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238025000007/er-12312024xerdoc.htm,True
LUV,2025Q1,available_seat_miles,41432.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238025000079/er-3312025xerdoc.htm,True
LUV,2025Q2,available_seat_miles,46996.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238025000131/er-6302025xerdoc.htm,True
LUV,2025Q3,available_seat_miles,45567.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238025000138/er-9302025xerdoc.htm,True
LUV,2025Q4,available_seat_miles,46052.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238026000002/er-12312025xerdoc.htm,True
LUV,2026Q1,available_seat_miles,42049.0,millions,https://www.sec.gov/Archives/edgar/data/92380/000009238026000044/er-3312026xerdoc.htm,True
LUV,2005Q2,enplaned_passengers,22777660.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238006000007/exhibit_99-1.htm,True
LUV,2005Q3,enplaned_passengers,23595749.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238006000018/ex_99-1.htm,True
LUV,2005Q4,enplaned_passengers,22225745.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238007000003/ex99-1.htm,True
LUV,2006Q1,enplaned_passengers,22015484.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238007000011/ex99-1.htm,True
LUV,2006Q2,enplaned_passengers,25306858.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238006000007/exhibit_99-1.htm,True
LUV,2006Q3,enplaned_passengers,24880646.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238006000018/ex_99-1.htm,True
LUV,2006Q4,enplaned_passengers,24073919.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238007000003/ex99-1.htm,True
LUV,2007Q1,enplaned_passengers,22903073.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238007000011/ex99-1.htm,True
LUV,2007Q2,enplaned_passengers,26889424.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238007000022/ex99_1.htm,True
LUV,2007Q3,enplaned_passengers,27242613.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238007000032/ex99_1.htm,True
LUV,2007Q4,enplaned_passengers,24875699.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238008000003/ex99_1.htm,True
